PassengerId,Survived,Title,First_Name,Last_Name,Sex,Age,Binned_Age,SibSp,Parch,Ticket,Pclass,Embarked,HasCabin,Fare,Binned_Fare
1,0,Mr,Owen Harris,Braund,male,22.0,Young Adult,1,0,A/5 21171,3,S,0,7.25,low
2,1,Mrs,Florence Briggs Thayer,Cumings,female,38.0,Adult,1,0,PC 17599,1,C,1,71.2833,very high
3,1,Miss,Laina,Heikkinen,female,26.0,Young Adult,0,0,STON/O2 3101282,3,S,0,7.925,low
4,1,Mrs,Lily May Peel,Futrelle,female,35.0,Young Adult,1,0,113803,1,S,1,53.1,very high
5,0,Mr,William Henry,Allen,male,35.0,Young Adult,0,0,373450,3,S,0,8.05,medium
6,0,Mr,James,Moran,male,28.0,Young Adult,0,0,330877,3,Q,0,8.4583,medium
7,0,Mr,Timothy J,McCarthy,male,54.0,Middle Aged,0,0,17463,1,S,1,51.8625,very high
8,0,Master,Gosta Leonard,Palsson,male,2.0,Infant,3,1,349909,3,S,0,21.075,high
9,1,Mrs,Elisabeth Vilhelmina Berg,Johnson,female,27.0,Young Adult,0,2,347742,3,S,0,11.1333,medium
10,1,Mrs,Adele Achem,Nasser,female,14.0,Teenager,1,0,237736,2,C,0,30.0708,high
11,1,Miss,Marguerite Rut,Sandstrom,female,4.0,Child,1,1,PP 9549,3,S,1,16.7,high
12,1,Miss,Elizabeth,Bonnell,female,58.0,Middle Aged,0,0,113783,1,S,1,26.55,high
13,0,Mr,William Henry,Saundercock,male,20.0,Young Adult,0,0,A/5 2151,3,S,0,8.05,medium
14,0,Mr,Anders Johan,Andersson,male,39.0,Adult,1,5,347082,3,S,0,31.275,high
15,0,Miss,Hulda Amanda Adolfina,Vestrom,female,14.0,Teenager,0,0,350406,3,S,0,7.8542,low
16,1,Mrs,Mary D Kingcome),Hewlett,female,55.0,Middle Aged,0,0,248706,2,S,0,16.0,high
17,0,Master,Eugene,Rice,male,2.0,Infant,4,1,382652,3,Q,0,29.125,high
18,1,Mr,Charles Eugene,Williams,male,28.0,Young Adult,0,0,244373,2,S,0,13.0,medium
19,0,Mrs,Emelia Maria Vandemoortele,Vander Planke,female,31.0,Young Adult,1,0,345763,3,S,0,18.0,high
20,1,Mrs,,Masselmani,female,28.0,Young Adult,0,0,2649,3,C,0,7.225,low
21,0,Mr,Joseph J,Fynney,male,35.0,Young Adult,0,0,239865,2,S,0,26.0,high
22,1,Mr,Lawrence,Beesley,male,34.0,Young Adult,0,0,248698,2,S,1,13.0,medium
23,1,Miss,"Anna ""Annie""",McGowan,female,15.0,Teenager,0,0,330923,3,Q,0,8.0292,medium
24,1,Mr,William Thompson,Sloper,male,28.0,Young Adult,0,0,113788,1,S,1,35.5,very high
25,0,Miss,Torborg Danira,Palsson,female,8.0,Child,3,1,349909,3,S,0,21.075,high
26,1,Mrs,Selma Augusta Emilia Johansson,Asplund,female,38.0,Adult,1,5,347077,3,S,0,31.3875,very high
27,0,Mr,Farred Chehab,Emir,male,28.0,Young Adult,0,0,2631,3,C,0,7.225,low
28,0,Mr,Charles Alexander,Fortune,male,19.0,Teenager,3,2,19950,1,S,1,263.0,very high
29,1,Miss,"Ellen ""Nellie""",O'Dwyer,female,28.0,Young Adult,0,0,330959,3,Q,0,7.8792,low
30,0,Mr,Lalio,Todoroff,male,28.0,Young Adult,0,0,349216,3,S,0,7.8958,low
31,0,Don,Manuel E,Uruchurtu,male,40.0,Adult,0,0,PC 17601,1,C,0,27.7208,high
32,1,Mrs,Marie Eugenie,Spencer,female,28.0,Young Adult,1,0,PC 17569,1,C,1,146.5208,very high
33,1,Miss,Mary Agatha,Glynn,female,28.0,Young Adult,0,0,335677,3,Q,0,7.75,low
34,0,Mr,Edward H,Wheadon,male,66.0,Senior,0,0,CA 24579,2,S,0,10.5,medium
35,0,Mr,Edgar Joseph,Meyer,male,28.0,Young Adult,1,0,PC 17604,1,C,0,82.1708,very high
36,0,Mr,Alexander Oskar,Holverson,male,42.0,Adult,1,0,113789,1,S,0,52.0,very high
37,1,Mr,Hanna,Mamee,male,28.0,Young Adult,0,0,2677,3,C,0,7.2292,low
38,0,Mr,Ernest Charles,Cann,male,21.0,Young Adult,0,0,A/5 2152,3,S,0,8.05,medium
39,0,Miss,Augusta Maria,Vander Planke,female,18.0,Teenager,2,0,345764,3,S,0,18.0,high
40,1,Miss,Jamila,Nicola-Yarred,female,14.0,Teenager,1,0,2651,3,C,0,11.2417,medium
41,0,Mrs,Johanna Persdotter Larsson,Ahlin,female,40.0,Adult,1,0,7546,3,S,0,9.475,medium
42,0,Mrs,Dorothy Ann Wonnacott,Turpin,female,27.0,Young Adult,1,0,11668,2,S,0,21.0,high
43,0,Mr,Theodor,Kraeff,male,28.0,Young Adult,0,0,349253,3,C,0,7.8958,low
44,1,Miss,Simonne Marie Anne Andree,Laroche,female,3.0,Child,1,2,SC/Paris 2123,2,C,0,41.5792,very high
45,1,Miss,Margaret Delia,Devaney,female,19.0,Teenager,0,0,330958,3,Q,0,7.8792,low
46,0,Mr,William John,Rogers,male,28.0,Young Adult,0,0,SC/A4 23567,3,S,0,8.05,medium
47,0,Mr,Denis,Lennon,male,28.0,Young Adult,1,0,370371,3,Q,0,15.5,high
48,1,Miss,Bridget,O'Driscoll,female,28.0,Young Adult,0,0,14311,3,Q,0,7.75,low
49,0,Mr,Youssef,Samaan,male,28.0,Young Adult,2,0,2662,3,C,0,21.6792,high
50,0,Mrs,Josefine Franchi,Arnold-Franchi,female,18.0,Teenager,1,0,349237,3,S,0,17.8,high
51,0,Master,Juha Niilo,Panula,male,7.0,Child,4,1,3101295,3,S,0,39.6875,very high
52,0,Mr,Richard Cater,Nosworthy,male,21.0,Young Adult,0,0,A/4 39886,3,S,0,7.8,low
53,1,Mrs,Myna Haxtun,Harper,female,49.0,Adult,1,0,PC 17572,1,C,1,76.7292,very high
54,1,Mrs,Elizabeth Anne Wilkinson,Faunthorpe,female,29.0,Young Adult,1,0,2926,2,S,0,26.0,high
55,0,Mr,Engelhart Cornelius,Ostby,male,65.0,Senior,0,1,113509,1,C,1,61.9792,very high
56,1,Mr,Hugh,Woolner,male,28.0,Young Adult,0,0,19947,1,S,1,35.5,very high
57,1,Miss,Emily,Rugg,female,21.0,Young Adult,0,0,CA 31026,2,S,0,10.5,medium
58,0,Mr,Mansouer,Novel,male,28.5,Young Adult,0,0,2697,3,C,0,7.2292,low
59,1,Miss,Constance Mirium,West,female,5.0,Child,1,2,CA 34651,2,S,0,27.75,high
60,0,Master,William Frederick,Goodwin,male,11.0,Child,5,2,CA 2144,3,S,0,46.9,very high
61,0,Mr,Orsen,Sirayanian,male,22.0,Young Adult,0,0,2669,3,C,0,7.2292,low
63,0,Mr,Henry Birkhardt,Harris,male,45.0,Adult,1,0,36973,1,S,1,83.475,very high
64,0,Master,Harald,Skoog,male,4.0,Child,3,2,347088,3,S,0,27.9,high
65,0,Mr,Albert A,Stewart,male,28.0,Young Adult,0,0,PC 17605,1,C,0,27.7208,high
66,1,Master,Gerios,Moubarek,male,28.0,Young Adult,1,1,2661,3,C,0,15.2458,high
67,1,Mrs,Elizabeth Ramell,Nye,female,29.0,Young Adult,0,0,CA 29395,2,S,1,10.5,medium
68,0,Mr,Ernest James,Crease,male,19.0,Teenager,0,0,SP 3464,3,S,0,8.1583,medium
69,1,Miss,Erna Alexandra,Andersson,female,17.0,Teenager,4,2,3101281,3,S,0,7.925,low
70,0,Mr,Vincenz,Kink,male,26.0,Young Adult,2,0,315151,3,S,0,8.6625,medium
71,0,Mr,Stephen Curnow,Jenkin,male,32.0,Young Adult,0,0,CA 33111,2,S,0,10.5,medium
72,0,Miss,Lillian Amy,Goodwin,female,16.0,Teenager,5,2,CA 2144,3,S,0,46.9,very high
73,0,Mr,Ambrose Jr,Hood,male,21.0,Young Adult,0,0,SOC 14879,2,S,0,73.5,very high
74,0,Mr,Apostolos,Chronopoulos,male,26.0,Young Adult,1,0,2680,3,C,0,14.4542,medium
75,1,Mr,Lee,Bing,male,32.0,Young Adult,0,0,1601,3,S,0,56.4958,very high
76,0,Mr,Sigurd Hansen,Moen,male,25.0,Young Adult,0,0,348123,3,S,1,7.65,low
77,0,Mr,Ivan,Staneff,male,28.0,Young Adult,0,0,349208,3,S,0,7.8958,low
78,0,Mr,Rahamin Haim,Moutal,male,28.0,Young Adult,0,0,374746,3,S,0,8.05,medium
79,1,Master,Alden Gates,Caldwell,male,0.83,Infant,0,2,248738,2,S,0,29.0,high
80,1,Miss,Elizabeth,Dowdell,female,30.0,Young Adult,0,0,364516,3,S,0,12.475,medium
81,0,Mr,Achille,Waelens,male,22.0,Young Adult,0,0,345767,3,S,0,9.0,medium
82,1,Mr,Jan Baptist,Sheerlinck,male,29.0,Young Adult,0,0,345779,3,S,0,9.5,medium
83,1,Miss,Brigdet Delia,McDermott,female,28.0,Young Adult,0,0,330932,3,Q,0,7.7875,low
84,0,Mr,Francisco M,Carrau,male,28.0,Young Adult,0,0,113059,1,S,0,47.1,very high
85,1,Miss,Bertha,Ilett,female,17.0,Teenager,0,0,SO/C 14885,2,S,0,10.5,medium
86,1,Mrs,Maria Mathilda Gustafsson,Backstrom,female,33.0,Young Adult,3,0,3101278,3,S,0,15.85,high
87,0,Mr,William Neal,Ford,male,16.0,Teenager,1,3,W/C 6608,3,S,0,34.375,very high
88,0,Mr,Selman Francis,Slocovski,male,28.0,Young Adult,0,0,SOTON/OQ 392086,3,S,0,8.05,medium
89,1,Miss,Mabel Helen,Fortune,female,23.0,Young Adult,3,2,19950,1,S,1,263.0,very high
90,0,Mr,Francesco,Celotti,male,24.0,Young Adult,0,0,343275,3,S,0,8.05,medium
91,0,Mr,Emil,Christmann,male,29.0,Young Adult,0,0,343276,3,S,0,8.05,medium
92,0,Mr,Paul Edvin,Andreasson,male,20.0,Young Adult,0,0,347466,3,S,0,7.8542,low
93,0,Mr,Herbert Fuller,Chaffee,male,46.0,Adult,1,0,WEP 5734,1,S,1,61.175,very high
94,0,Mr,Bertram Frank,Dean,male,26.0,Young Adult,1,2,CA 2315,3,S,0,20.575,high
95,0,Mr,Daniel,Coxon,male,59.0,Middle Aged,0,0,364500,3,S,0,7.25,low
96,0,Mr,Charles Joseph,Shorney,male,28.0,Young Adult,0,0,374910,3,S,0,8.05,medium
97,0,Mr,George B,Goldschmidt,male,71.0,Senior,0,0,PC 17754,1,C,1,34.6542,very high
98,1,Mr,William Bertram,Greenfield,male,23.0,Young Adult,0,1,PC 17759,1,C,1,63.3583,very high
99,1,Mrs,Ada Julia Bone,Doling,female,34.0,Young Adult,0,1,231919,2,S,0,23.0,high
